Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100n","C_0603_1608Metric",132.737200,-61.595000,-90.000000,top
"Q1","MMBT5551","SOT-23",115.017200,-59.055000,0.000000,top
"Q2","MMBT5551","SOT-23",115.017200,-63.500000,0.000000,top
"Q3","MMBT5551","SOT-23",115.017200,-67.945000,0.000000,top
"Q4","MMBT5551","SOT-23",106.237200,-71.120000,0.000000,top
"Q10","MMBT5551","SOT-23",96.046700,-55.880000,0.000000,top
"Q11","MMBT5551","SOT-23",96.046700,-60.960000,0.000000,top
"Q12","MMBT5551","SOT-23",96.046700,-66.040000,0.000000,top
"Q13","MMBT5551","SOT-23",96.046700,-71.120000,0.000000,top
"Q14","MMBT5551","SOT-23",101.126700,-55.880000,0.000000,top
"Q15","MMBT5551","SOT-23",101.126700,-60.960000,0.000000,top
"Q16","MMBT5551","SOT-23",101.126700,-66.040000,0.000000,top
"Q17","MMBT5551","SOT-23",101.126700,-71.120000,0.000000,top
"Q18","MMBT5551","SOT-23",106.206700,-55.880000,0.000000,top
"Q19","MMBT5551","SOT-23",106.206700,-60.960000,0.000000,top
"R1","22k","R_0603_1608Metric",120.732200,-60.325000,0.000000,top
"R2","22k","R_0603_1608Metric",120.732200,-64.135000,0.000000,top
"R3","22k","R_0603_1608Metric",120.542200,-67.945000,0.000000,top
"R4","22k","R_0603_1608Metric",105.977900,-67.310000,0.000000,top
"R9","22k","R_0603_1608Metric",132.737200,-66.040000,-90.000000,top
"R10","22k","R_0603_1608Metric",110.047200,-56.515000,0.000000,top
"R11","22k","R_0603_1608Metric",110.047200,-60.960000,0.000000,top
"R12","22k","R_0603_1608Metric",110.047200,-66.040000,0.000000,top
"R13","22k","R_0603_1608Metric",110.047200,-70.485000,0.000000,top
